Date	Action	Direction	Protocol	Application/Service	Local IP address	Local hostname	Local port	Remote IP address	Remote hostname	Remote port	ICMP info	Kind
Dec 19, 2016, 9:10:14 AM	DENIED	Outgoing	UDP	Google Chrome	::	::	0	2001:4860:4860::8888	google-public-dns-a.google.com	53		User-defined setting
Dec 19, 2016, 9:10:13 AM	DENIED	Outgoing	UDP	Google Chrome	::	::	0	2001:4860:4860::8888	google-public-dns-a.google.com	53		User-defined setting
Dec 19, 2016, 9:09:58 AM	DENIED	Incoming	TCP	mySQL	180.113.238.113	180.113.238.113	3306	211.147.112.243	211.147.112.243	6000		User-defined setting
Dec 19, 2016, 9:09:58 AM	DENIED	Incoming	TCP	Remote Login (Telnet)	180.113.238.113	180.113.238.113	23	59.126.222.218	59-126-222-218.hinet-ip.hinet.net	7963		User-defined setting
Dec 19, 2016, 9:09:55 AM	DENIED	Incoming	TCP	Port 2323	180.113.238.113	180.113.238.113	2323	59.126.222.218	59-126-222-218.hinet-ip.hinet.net	7963		User-defined setting
Dec 19, 2016, 9:09:51 AM	DENIED	Incoming	TCP	mySQL	180.113.238.113	180.113.238.113	3306	211.147.112.243	211.147.112.243	6000		User-defined setting
Dec 19, 2016, 9:09:44 AM	DENIED	Incoming	TCP	mySQL	180.113.238.113	180.113.238.113	3306	211.147.112.243	211.147.112.243	6000		User-defined setting
Dec 19, 2016, 9:09:43 AM	DENIED	Incoming	TCP	Remote Login (Telnet)	180.113.238.113	180.113.238.113	23	123.243.165.136	123-243-165-136.static.tpgi.com.au	358		User-defined setting
Dec 19, 2016, 9:09:23 AM	DENIED	Incoming	TCP	Port 2323	180.113.238.113	180.113.238.113	2323	59.126.222.218	59-126-222-218.hinet-ip.hinet.net	7963		User-defined setting
Dec 19, 2016, 9:08:59 AM	DENIED	Outgoing	TCP	com.apple.WebKit.WebContent.xpc	0.0.0.0	0.0.0.0	0	218.92.221.212	218.92.221.212	443		User-defined setting
Dec 19, 2016, 9:08:51 AM	DENIED	Incoming	TCP	Port 2323	180.113.238.113	180.113.238.113	2323	114.34.31.233	114-34-31-233.hinet-ip.hinet.net	26618		User-defined setting
Dec 19, 2016, 9:08:18 AM	DENIED	Outgoing	TCP	com.apple.WebKit.WebContent.xpc	0.0.0.0	0.0.0.0	0	58.222.42.59	58.222.42.59	80		User-defined setting
Dec 19, 2016, 9:08:18 AM	DENIED	Outgoing	TCP	com.apple.WebKit.WebContent.xpc	0.0.0.0	0.0.0.0	0	58.222.42.59	58.222.42.59	80		User-defined setting
Dec 19, 2016, 9:08:18 AM	DENIED	Outgoing	TCP	com.apple.WebKit.WebContent.xpc	0.0.0.0	0.0.0.0	0	58.222.42.59	58.222.42.59	80		User-defined setting
Dec 19, 2016, 9:08:18 AM	DENIED	Outgoing	TCP	com.apple.WebKit.WebContent.xpc	0.0.0.0	0.0.0.0	0	58.222.42.59	58.222.42.59	80		User-defined setting
Dec 19, 2016, 9:08:18 AM	DENIED	Outgoing	TCP	com.apple.WebKit.WebContent.xpc	0.0.0.0	0.0.0.0	0	58.222.42.59	58.222.42.59	80		User-defined setting
Dec 19, 2016, 9:08:18 AM	DENIED	Outgoing	TCP	com.apple.WebKit.WebContent.xpc	0.0.0.0	0.0.0.0	0	58.222.42.59	58.222.42.59	80		User-defined setting
Dec 19, 2016, 9:08:18 AM	DENIED	Outgoing	TCP	com.apple.WebKit.WebContent.xpc	0.0.0.0	0.0.0.0	0	58.222.42.59	58.222.42.59	80		User-defined setting
Dec 19, 2016, 9:08:18 AM	DENIED	Outgoing	TCP	com.apple.WebKit.WebContent.xpc	0.0.0.0	0.0.0.0	0	58.222.42.59	58.222.42.59	80		User-defined setting
Dec 19, 2016, 9:08:18 AM	DENIED	Outgoing	TCP	com.apple.WebKit.WebContent.xpc	0.0.0.0	0.0.0.0	0	58.222.42.59	58.222.42.59	80		User-defined setting
Dec 19, 2016, 9:08:18 AM	DENIED	Outgoing	TCP	com.apple.WebKit.WebContent.xpc	0.0.0.0	0.0.0.0	0	58.222.42.59	58.222.42.59	80		User-defined setting
Dec 19, 2016, 9:08:18 AM	DENIED	Outgoing	TCP	com.apple.WebKit.WebContent.xpc	0.0.0.0	0.0.0.0	0	58.222.42.59	58.222.42.59	80		User-defined setting
Dec 19, 2016, 9:08:09 AM	DENIED	Incoming	TCP	Remote Login (Telnet)	180.113.238.113	180.113.238.113	23	59.126.222.218	59-126-222-218.hinet-ip.hinet.net	7963		User-defined setting
Dec 19, 2016, 9:08:06 AM	DENIED	Incoming	TCP	Remote Login (Telnet)	180.113.238.113	180.113.238.113	23	59.126.222.218	59-126-222-218.hinet-ip.hinet.net	7963		User-defined setting
Dec 19, 2016, 9:08:05 AM	DENIED	Outgoing	TCP	storeassetd	0.0.0.0	0.0.0.0	0	218.92.221.212	218.92.221.212	443		User-defined setting
Dec 19, 2016, 9:07:58 AM	DENIED	Incoming	TCP	Remote Login (Telnet)	180.113.238.113	180.113.238.113	23	59.126.222.218	59-126-222-218.hinet-ip.hinet.net	7963		User-defined setting
Dec 19, 2016, 9:07:46 AM	DENIED	Incoming	TCP	Remote Login (Telnet)	180.113.238.113	180.113.238.113	23	180.113.19.102	180.113.19.102	57677		User-defined setting
Dec 19, 2016, 9:07:44 AM	DENIED	Outgoing	UDP	Google Chrome	::	::	0	2001:4860:4860::8888	google-public-dns-a.google.com	53		User-defined setting
Dec 19, 2016, 9:07:43 AM	DENIED	Outgoing	UDP	Google Chrome	::	::	0	2001:4860:4860::8888	google-public-dns-a.google.com	53		User-defined setting
Dec 19, 2016, 9:07:39 AM	DENIED	Incoming	UDP	Port 53413	180.113.238.113	180.113.238.113	53413	50.115.166.17	50.115.166.17	44857		User-defined setting
Dec 19, 2016, 9:07:29 AM	DENIED	Incoming	TCP	Port 8123	180.113.238.113	180.113.238.113	8123	123.249.27.192	123.249.27.192	689		User-defined setting
Dec 19, 2016, 9:07:23 AM	DENIED	Incoming	TCP	Remote Login (Telnet)	180.113.238.113	180.113.238.113	23	37.210.167.186	37.210.167.186	52627		User-defined setting
Dec 19, 2016, 9:07:20 AM	DENIED	Incoming	TCP	Remote Login (Telnet)	180.113.238.113	180.113.238.113	23	37.210.167.186	37.210.167.186	52627		User-defined setting
Dec 19, 2016, 9:07:20 AM	DENIED	Incoming	UDP	Port 5060	180.113.238.113	180.113.238.113	5060	64.253.211.205	64.253.211.205	5115		User-defined setting
Dec 19, 2016, 9:07:01 AM	DENIED	Incoming	TCP	Remote Login (Telnet)	180.113.238.113	180.113.238.113	23	195.95.232.17	195.95.232.17	13800		User-defined setting
Dec 19, 2016, 9:06:54 AM	DENIED	Incoming	TCP	Remote Login (Telnet)	180.113.238.113	180.113.238.113	23	59.126.222.218	59-126-222-218.hinet-ip.hinet.net	7963		User-defined setting
Dec 19, 2016, 9:06:11 AM	DENIED	Incoming	TCP	Port 8088	180.113.238.113	180.113.238.113	8088	93.174.93.136	93.174.93.136	40166		User-defined setting
Dec 19, 2016, 9:06:11 AM	DENIED	Incoming	TCP	Port 8088	180.113.238.113	180.113.238.113	8088	93.174.93.136	93.174.93.136	40166		User-defined setting
Dec 19, 2016, 9:06:10 AM	DENIED	Incoming	TCP	Port 8088	180.113.238.113	180.113.238.113	8088	93.174.93.136	93.174.93.136	40166		User-defined setting
Dec 19, 2016, 9:06:10 AM	DENIED	Incoming	TCP	Port 8088	180.113.238.113	180.113.238.113	8088	93.174.93.136	93.174.93.136	40166		User-defined setting
Dec 19, 2016, 9:06:10 AM	DENIED	Incoming	TCP	Port 8088	180.113.238.113	180.113.238.113	8088	93.174.93.136	93.174.93.136	40166		User-defined setting
Dec 19, 2016, 9:06:09 AM	DENIED	Incoming	TCP	Port 8088	180.113.238.113	180.113.238.113	8088	93.174.93.136	93.174.93.136	40166		User-defined setting
Dec 19, 2016, 9:06:09 AM	DENIED	Outgoing	UDP	Google Chrome	::	::	0	2001:4860:4860::8888	google-public-dns-a.google.com	53		User-defined setting
Dec 19, 2016, 9:06:09 AM	DENIED	Incoming	TCP	Port 8088	180.113.238.113	180.113.238.113	8088	93.174.93.136	93.174.93.136	40166		User-defined setting
Dec 19, 2016, 9:06:09 AM	DENIED	Incoming	TCP	Port 8088	180.113.238.113	180.113.238.113	8088	93.174.93.136	93.174.93.136	40166		User-defined setting
Dec 19, 2016, 9:06:08 AM	DENIED	Incoming	TCP	Port 8088	180.113.238.113	180.113.238.113	8088	93.174.93.136	93.174.93.136	40166		User-defined setting
Dec 19, 2016, 9:06:08 AM	DENIED	Incoming	TCP	Port 8088	180.113.238.113	180.113.238.113	8088	93.174.93.136	93.174.93.136	40166		User-defined setting
Dec 19, 2016, 9:06:08 AM	DENIED	Incoming	TCP	Port 8088	180.113.238.113	180.113.238.113	8088	93.174.93.136	93.174.93.136	40166		User-defined setting
Dec 19, 2016, 9:06:07 AM	DENIED	Incoming	TCP	Port 8088	180.113.238.113	180.113.238.113	8088	93.174.93.136	93.174.93.136	40166		User-defined setting
Dec 19, 2016, 9:06:07 AM	DENIED	Incoming	TCP	Port 8088	180.113.238.113	180.113.238.113	8088	93.174.93.136	93.174.93.136	40166		User-defined setting
Dec 19, 2016, 9:06:07 AM	DENIED	Incoming	TCP	Port 8088	180.113.238.113	180.113.238.113	8088	93.174.93.136	93.174.93.136	40166		User-defined setting
Dec 19, 2016, 9:06:06 AM	DENIED	Incoming	TCP	Port 8088	180.113.238.113	180.113.238.113	8088	93.174.93.136	93.174.93.136	40166		User-defined setting
